Program,Issue,Prescriptiveness,Strictist,Change,Year,
SFI,Economic viability,2,0,No change,2011,
SFI,Carbon,3,0,No change,2011,
SFI,Plantations,1,0,No change,2011,
SFI,Forest extent,1,0,No change,2011,
SFI,Protected areas,1,0,No change,2011,
SFI,Restoration,1,0,No change,2011,
SFI,Community benefit,1,0,No change,2011,
SFI,Tenure,1,0,No change,2011,
SFI,Impact assessment,1,0,No change,2011,
SFI,Reforestation,3,0,No change,2012,
SFI,Forest law,3,0,No change,2012,
SFI,Utilization,3,1,No change,2012,
SFI,Education,3,1,No change,2012,
SFI,Aesthetics,3,0,No change,2012,
SFI,Training,3,1,No change,2012,
SFI,Ecosystem services,3,0,No change,2012,
SFI,Contual Improvement,3,1,No change,2012,
SFI,Research,3,1,No change,2012,
SFI,Riparian ,2,0,No change,2012,
SFI,Soil,2,0,No change,2012,
SFI,GMOs,2,0,No change,2012,
SFI,Chemicals,2,0,No change,2012,
SFI,Ecosystem function,2,0,No change,2012,
SFI,Old growth,2,0,No change,2012,
SFI,Clearcutting,2,0,No change,2012,
SFI,Snags and wood,2,0,No change,2012,
SFI,Species diversity,2,0,No change,2012,
SFI,Species at risk,2,0,No change,2012,
SFI,Exotics,2,0,No change,2012,
SFI,Genetic diversity ,2,0,No change,2012,
SFI,Biotech,2,0,No change,2012,
SFI,Natual disturbance,2,0,No change,2012,
SFI,Timber production,2,0,No change,2012,
SFI,NTFP,2,0,No change,2012,
SFI,Residual trees ,2,0,No change,2012,
SFI,Roads ,2,0,No change,2012,
SFI,Tribal land,2,0,No change,2012,
SFI,Special sites,2,0,No change,2012,
SFI,Traditional knowledge,2,0,No change,2012,
SFI,Right to organize,2,0,No change,2012,
SFI,Wages,2,0,No change,2012,
SFI,Health and safety,2,0,No change,2012,
SFI,Public reporting and consultation,2,0,No change,2012,
SFI,Public access,2,0,No change,2012,
SFI,Public lands,2,0,No change,2012,
SFI,Management plan,2,0,No change,2012,
SFI,Monitoring,2,0,No change,2012,
SFI,Conservation Value Forests,2,0,No change,2012,
SFI,Economic viability,2,0,No change,2012,
SFI,Carbon,3,0,No change,2012,
SFI,Plantations,1,0,No change,2012,
SFI,Forest extent,1,0,No change,2012,
SFI,Protected areas,1,0,No change,2012,
SFI,Restoration,1,0,No change,2012,
SFI,Community benefit,1,0,No change,2012,
SFI,Tenure,1,0,No change,2012,
SFI,Impact assessment,1,0,No change,2012,
SFI,Reforestation,3,0,No change,2013,
SFI,Forest law,3,0,No change,2013,
SFI,Utilization,3,1,No change,2013,
SFI,Education,3,1,No change,2013,
SFI,Aesthetics,3,0,No change,2013,
SFI,Training,3,1,No change,2013,
SFI,Ecosystem services,3,0,No change,2013,
SFI,Contual Improvement,3,1,No change,2013,
SFI,Research,3,1,No change,2013,
SFI,Riparian ,2,0,No change,2013,
SFI,Soil,2,0,No change,2013,
SFI,GMOs,2,0,Became more prescriptive,2013,
SFI,Chemicals,2,0,No change,2013,
SFI,Ecosystem function,2,0,No change,2013,
SFI,Old growth,2,0,No change,2013,
SFI,Clearcutting,2,0,No change,2013,
SFI,Snags and wood,2,0,No change,2013,
SFI,Species diversity,2,0,No change,2013,
SFI,Species at risk,2,0,No change,2013,
SFI,Exotics,2,0,No change,2013,
SFI,Genetic diversity ,2,0,No change,2013,
SFI,Biotech,2,0,No change,2013,
SFI,Natual disturbance,2,0,No change,2013,
SFI,Timber production,2,0,No change,2013,
SFI,NTFP,2,0,No change,2013,
SFI,Residual trees ,2,0,No change,2013,
SFI,Roads ,2,0,No change,2013,
SFI,Tribal land,2,0,No change,2013,
SFI,Special sites,2,0,No change,2013,
SFI,Traditional knowledge,2,0,No change,2013,
SFI,Right to organize,2,0,No change,2013,
SFI,Wages,2,0,No change,2013,
SFI,Health and safety,2,0,No change,2013,
SFI,Public reporting and consultation,2,0,No change,2013,
SFI,Public access,2,0,No change,2013,
SFI,Public lands,2,0,No change,2013,
SFI,Management plan,2,0,No change,2013,
SFI,Monitoring,2,0,No change,2013,
SFI,Conservation Value Forests,2,0,No change,2013,
SFI,Economic viability,2,0,No change,2013,
SFI,Carbon,3,0,No change,2013,
SFI,Plantations,1,0,No change,2013,
SFI,Forest extent,1,0,No change,2013,
SFI,Protected areas,1,0,No change,2013,
SFI,Restoration,1,0,No change,2013,
SFI,Community benefit,1,0,No change,2013,
SFI,Tenure,1,0,No change,2013,
SFI,Impact assessment,1,0,No change,2013,
SFI,Reforestation,3,0,No change,2014,
SFI,Forest law,3,0,No change,2014,
SFI,Utilization,3,1,No change,2014,
SFI,Education,3,1,No change,2014,
SFI,Aesthetics,3,0,No change,2014,
SFI,Training,3,1,No change,2014,
SFI,Ecosystem services,3,0,No change,2014,
SFI,Contual Improvement,3,1,No change,2014,
SFI,Research,3,1,No change,2014,
SFI,Riparian ,2,0,No change,2014,
SFI,Soil,2,0,No change,2014,
SFI,GMOs,2,0,No change,2014,
SFI,Chemicals,2,0,No change,2014,
SFI,Ecosystem function,2,0,No change,2014,
SFI,Old growth,2,0,No change,2014,
SFI,Clearcutting,2,0,No change,2014,
SFI,Snags and wood,2,0,No change,2014,
SFI,Species diversity,2,0,No change,2014,
SFI,Species at risk,2,0,No change,2014,
SFI,Exotics,2,0,No change,2014,
SFI,Genetic diversity ,2,0,No change,2014,
SFI,Biotech,2,0,No change,2014,
SFI,Natual disturbance,2,0,No change,2014,
SFI,Timber production,2,0,No change,2014,
SFI,NTFP,2,0,No change,2014,
SFI,Residual trees ,2,0,No change,2014,
SFI,Roads ,2,0,No change,2014,
SFI,Tribal land,2,0,No change,2014,
SFI,Special sites,2,0,No change,2014,
SFI,Traditional knowledge,2,0,No change,2014,
SFI,Right to organize,2,0,No change,2014,
SFI,Wages,2,0,No change,2014,
SFI,Health and safety,2,0,No change,2014,
SFI,Public reporting and consultation,2,0,No change,2014,
SFI,Public access,2,0,No change,2014,
SFI,Public lands,2,0,No change,2014,
SFI,Management plan,2,0,No change,2014,
SFI,Monitoring,2,0,No change,2014,
SFI,Conservation Value Forests,2,0,No change,2014,
SFI,Economic viability,2,0,No change,2014,
SFI,Carbon,3,0,No change,2014,
SFI,Plantations,1,0,No change,2014,
SFI,Forest extent,1,0,No change,2014,
SFI,Protected areas,1,0,No change,2014,
SFI,Restoration,1,0,No change,2014,
SFI,Community benefit,1,0,No change,2014,
SFI,Tenure,1,0,No change,2014,
SFI,Impact assessment,1,0,No change,2014,
SFI,Reforestation,3,0,No change,2015,
SFI,Forest law,3,0,No change,2015,
SFI,Utilization,3,1,No change,2015,
SFI,Education,3,1,No change,2015,
SFI,Aesthetics,3,0,No change,2015,
SFI,Training,3,1,No change,2015,
SFI,Ecosystem services,3,0,No change,2015,
SFI,Contual Improvement,3,1,No change,2015,
SFI,Research,3,1,No change,2015,
SFI,Riparian ,2,0,No change,2015,
SFI,Soil,2,0,No change,2015,
SFI,GMOs,2,0,No change,2015,
SFI,Chemicals,2,0,Became more prescriptive,2015,
SFI,Ecosystem function,2,0,No change,2015,
SFI,Old growth,2,0,No change,2015,
SFI,Clearcutting,2,0,No change,2015,
SFI,Snags and wood,2,0,No change,2015,
SFI,Species diversity,2,0,No change,2015,
SFI,Species at risk,2,0,No change,2015,
SFI,Exotics,2,0,No change,2015,
SFI,Genetic diversity ,2,0,No change,2015,
SFI,Biotech,2,0,No change,2015,
SFI,Natual disturbance,2,0,No change,2015,
SFI,Timber production,2,0,No change,2015,
SFI,NTFP,2,0,No change,2015,
SFI,Residual trees ,2,0,No change,2015,
SFI,Roads ,2,0,No change,2015,
SFI,Tribal land,2,0,Became more prescriptive,2015,
SFI,Special sites,2,0,No change,2015,
SFI,Traditional knowledge,2,0,No change,2015,
SFI,Right to organize,2,0,No change,2015,
SFI,Wages,2,0,No change,2015,
SFI,Health and safety,2,0,No change,2015,
SFI,Public reporting and consultation,2,0,No change,2015,
SFI,Public access,2,0,No change,2015,
SFI,Public lands,2,0,No change,2015,
SFI,Management plan,2,0,No change,2015,
SFI,Monitoring,2,0,No change,2015,
SFI,Conservation Value Forests,2,0,No change,2015,
SFI,Economic viability,2,0,No change,2015,
SFI,Carbon,3,0,No change,2015,
SFI,Plantations,1,0,Became more prescriptive,2015,
SFI,Forest extent,1,0,No change,2015,
SFI,Protected areas,1,0,No change,2015,
SFI,Restoration,1,0,No change,2015,
SFI,Community benefit,1,0,No change,2015,
SFI,Tenure,1,0,No change,2015,
SFI,Impact assessment,1,0,No change,2015,
SFI,Reforestation,3,0,No change,2016,
SFI,Forest law,3,0,No change,2016,
SFI,Utilization,3,1,No change,2016,
SFI,Education,3,1,No change,2016,
SFI,Aesthetics,3,0,No change,2016,
SFI,Training,3,1,No change,2016,
SFI,Ecosystem services,3,0,No change,2016,
SFI,Contual Improvement,3,1,No change,2016,
SFI,Research,3,1,No change,2016,
SFI,Riparian ,2,0,No change,2016,
SFI,Soil,2,0,No change,2016,
SFI,GMOs,2,0,No change,2016,
SFI,Chemicals,2,0,No change,2016,
SFI,Ecosystem function,2,0,No change,2016,
SFI,Old growth,2,0,No change,2016,
SFI,Clearcutting,2,0,No change,2016,
SFI,Snags and wood,2,0,No change,2016,
SFI,Species diversity,2,0,No change,2016,
SFI,Species at risk,2,0,No change,2016,
SFI,Exotics,2,0,No change,2016,
SFI,Genetic diversity ,2,0,No change,2016,
SFI,Biotech,2,0,No change,2016,
SFI,Natual disturbance,2,0,No change,2016,
SFI,Timber production,2,0,No change,2016,
SFI,NTFP,2,0,No change,2016,
SFI,Residual trees ,2,0,No change,2016,
SFI,Roads ,2,0,No change,2016,
SFI,Tribal land,2,0,No change,2016,
SFI,Special sites,2,0,No change,2016,
SFI,Traditional knowledge,2,0,No change,2016,
SFI,Right to organize,2,0,No change,2016,
SFI,Wages,2,0,No change,2016,
SFI,Health and safety,2,0,No change,2016,
SFI,Public reporting and consultation,2,0,No change,2016,
SFI,Public access,2,0,No change,2016,
SFI,Public lands,2,0,No change,2016,
SFI,Management plan,2,0,No change,2016,
SFI,Monitoring,2,0,No change,2016,
SFI,Conservation Value Forests,2,0,No change,2016,
SFI,Economic viability,2,0,No change,2016,
SFI,Carbon,3,0,No change,2016,
SFI,Plantations,1,0,No change,2016,
SFI,Forest extent,1,0,No change,2016,
SFI,Protected areas,1,0,No change,2016,
SFI,Restoration,1,0,No change,2016,
SFI,Community benefit,1,0,No change,2016,
SFI,Tenure,1,0,No change,2016,
SFI,Impact assessment,1,0,No change,2016,
